rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
646,#area267,Gungrave,TV,26,2003,125114,7.9
647,#area5630,Higashi no Eden,TV,11,2009,365739,7.9
649,#area11887,Kokoro Connect,TV,13,2012,434389,7.9
650,#area569,Musekinin Kanchou Tylor,TV,26,1993,28485,7.9
653,#area12445,Tasogare Otome x Amnesia,TV,12,2012,241470,7.9
655,#area35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV,12,2017,258929,7.9
657,#area33354,Cardcaptor Sakura: Clear Card-hen,TV,22,2018,66518,7.9
658,#area1472,City Hunter 3,TV,13,1989,9757,7.9
663,#area12413,Jormungand,TV,12,2012,198392,7.9
664,#area253,Jungle wa Itsumo Hare nochi Guu,TV,26,2001,25886,7.9
665,#area4080,Kyou kara Maou! 3rd Series,TV,39,2008,23649,7.9
670,#area890,Yuusha-Ou GaoGaiGar,TV,49,1997,13179,7.9
671,#area30123,Akagami no Shirayuki-hime,TV,12,2015,282938,7.9
672,#area532,Bishoujo Senshi Sailor Moon S,TV,38,1994,85028,7.9
673,#area28999,Charlotte,TV,13,2015,599120,7.9
675,#area35222,Gakuen Babysitters,TV,12,2018,68454,7.9
677,#area35075,Hoozuki no Reitetsu 2nd Season,TV,13,2017,24176,7.9
678,#area249,InuYasha,TV,167,2000,398779,7.9
680,#area397,Seikai no Senki II,TV,10,2001,16870,7.9
